tracking 29 hits

name                   chain    status  exit      FR  peak   now        ret
KARIS / ETH 0.3%       base     closed  timestop  F     1.0x   1.0x     +0%
HNT / ETH 0.3%         base     closed  timestop  F     1.0x   1.0x     +2%
HTN / ETH 0.3%         base     closed  timestop  F     1.0x   1.0x     +0%
💸CLUB / WBNB           bsc      closed  trail     F     1.0x   0.0x   -100%
KARIS / ETH 0.3%       base     closed  timestop  F     1.0x   1.0x     +3%
HNT / ETH 0.3%         base     closed  timestop  F     1.0x   1.0x     -4%
我的女友景甜 / USDT          bsc      closed  timestop  F     1.0x   1.0x     +0%
英伟达股票 / WBNB           bsc      closed  timestop  F     1.0x   0.0x     +0%
SKYAI / WBNB           bsc      closed  trail     F     1.0x   0.0x   -100%
EWL / WETH             eth      closed  trail     F     1.0x   0.0x   -100%
SHRUB / WETH           eth      closed  trail     T    20.6x   0.0x    +12%
HTN / ETH 0.3%         base     closed  timestop  F     1.0x   1.0x     +0%
37signals / ETH 0.3%   base     closed  timestop  F     1.0x   1.0x     +0%
HAM / ETH 0.3%         base     closed  timestop  F     1.0x   1.0x     +0%
KARIS / ETH 0.3%       base     closed  timestop  F     1.0x   0.9x     -9%
defi-native / ETH 0.   base     closed  timestop  F     1.0x   1.0x     -2%
HTN / ETH 0.3%         base     closed  timestop  F     1.1x   1.1x     +8%
HAM / ETH 0.3%         base     closed  timestop  F     1.1x   1.1x     +6%
EVE / ETH 0.3%         base     closed  timestop  F     1.4x   1.4x    +38%
HNT / ETH 0.3%         base     closed  timestop  F     1.0x   1.0x     +0%
杀零狗 / USDT             bsc      closed  timestop  F   246.8x 246.8x     +0%
Aonusi / SOL           solana   closed  timestop  F     1.0x   1.0x     +0%
WOFI / SOL             solana   closed  timestop  F     1.0x   1.0x     +1%
POMM / ETH 0.3%        base     closed  timestop  F     1.0x   1.0x     +0%
1KTO100M / WETH        base     closed  trail     T   2608.3x  61.8x  +1557%
BOT / ETH 0.3%         base     closed  timestop  F     1.0x   1.0x     +0%
37signals / ETH 0.3%   base     closed  timestop  F     1.0x   1.0x     +0%
HAM / ETH 0.3%         base     closed  timestop  F     1.0x   1.0x     +0%
EVE / ETH 0.3%         base     closed  timestop  F     1.0x   1.0x     +0%
我的孙宇晨男友 / USDT         bsc      closed  timestop  F     1.0x   1.0x     +0%
我的女友景甜 / USDT          bsc      closed  timestop  F     1.0x   1.0x     +0%
SKYAI / WBNB           bsc      closed  timestop  F     1.4x   0.0x   -100%
BUDDY / WETH           eth      closed  trail     F     1.0x   0.0x   -100%
CHA🐼 / WBNB            bsc      closed  timestop  F     1.5x   1.5x    +45%
牛来 / USDT              bsc      closed  timestop  F     1.0x   1.0x     +0%
LARK / ETH 0.3%        base     closed  timestop  F     1.0x   1.0x     +0%
BIG / ETH 0.3%         base     closed  timestop  F     1.0x   1.0x     +0%
Dickbots / ETH 0.3%    base     closed  timestop  F     1.0x   1.0x     +0%
TOKEN / ETH 0.3%       base     closed  timestop  F     1.0x   1.0x     +4%
HAM / ETH 0.3%         base     closed  timestop  F     1.0x   1.0x     +0%
happy猫 / WBNB          bsc      closed  timestop  F     1.0x   0.0x     +0%
牛来 / USDT              bsc      closed  timestop  F     1.0x   1.0x     +0%
CHUBBY / WETH          base     open    None      T   3796.0x 3796.0x +94914%
我的女友景甜 / USDT          bsc      closed  timestop  F     1.0x   1.0x     +0%
杀零狗 / USDT             bsc      closed  timestop  F     1.0x   1.0x     +0%
SKYAI / WBNB           bsc      closed  trail     F     1.0x   0.0x   -100%
ESO / WETH             eth      closed  trail     F     1.0x   0.0x   -100%
BETTY / WETH           eth      closed  trail     F     1.0x   0.0x   -100%
牛来 / USDT              bsc      closed  timestop  F     1.0x   1.0x     +0%
ANTHROPIC / WETH       base     closed  timestop  F     1.0x   1.0x     +0%
PUMP / SOL             solana   closed  timestop  F     1.0x   1.0x     -0%
元宇宙马 / WBNB            bsc      closed  timestop  F     1.0x   1.0x     +0%
🏆NIN / WBNB            bsc      closed  timestop  F     1.0x   1.0x     +0%
LIQUIDBGT / WETH       base     open    None      T   4440.2x 4440.2x +111017%
我的女友景甜 / USDC          base     closed  timestop  F     1.0x   0.4x    -29%
ROCK / ETH 0.3%        base     closed  timestop  F     1.0x   1.0x     +0%
PCM / WBNB             bsc      closed  timestop  F     1.5x   1.5x    +13%
USDT.z / ETH 0.3%      base     closed  timestop  F     1.0x   1.0x     +0%
