tracking 29 hits

name                   chain    status  exit      FR  peak   now        ret
EVG / WETH             eth      closed  trail     F     1.0x   0.0x   -100%
Bros / WBNB            bsc      closed  timestop  F     1.0x   1.0x     +0%
ADELL / ETH 0.3%       base     closed  timestop  F     1.0x   1.0x     +0%
CHAR / WBNB            bsc      closed  timestop  F     1.0x   1.0x     -3%
PENNYSTOCK / ETH 0.3   base     closed  timestop  F     1.0x   0.8x     +0%
Theo / ETH 0.3%        base     closed  timestop  F     1.0x   1.0x     +0%
CHIP / WBNB            bsc      closed  timestop  F     1.0x   1.0x     +0%
openhuman / WETH       base     closed  timestop  F     1.0x   0.0x     +0%
AST / USDT             bsc      closed  timestop  F     1.0x   1.0x     +0%
牛来 / USDT              bsc      closed  timestop  F     1.0x   1.0x     +0%
币安人生 / SOL             solana   open    None      T     5.1x   5.0x   +138%
AST / USDT             bsc      closed  timestop  F     1.0x   1.0x     +0%
QQQB / USDT            bsc      closed  timestop  F     1.0x   1.0x     +0%
牛来 / USDT              bsc      closed  timestop  F     1.0x   1.0x     +0%
TRUMP1 / WETH          eth      closed  trail     F     1.3x   0.0x   -100%
CSO / WETH             eth      closed  trail     F     1.0x   0.0x   -100%
OSAMA / SOL            solana   closed  timestop  F     1.0x   1.0x     +0%
OSAMA / SOL            solana   open    None      T     1.8x   1.8x    +57%
牛来 / SOL               solana   closed  timestop  F     1.0x   1.0x     +0%
MEGA / WBNB            bsc      closed  timestop  F     1.0x   1.0x     +4%
我的景甜女友 / USDT          bsc      closed  timestop  F     1.0x   1.0x     +0%
HOOD / SOL             solana   open    None      T     3.2x   3.2x    +93%
QUBY / USDT            bsc      closed  timestop  F     1.0x   1.0x     +0%
TransMeme / USDT       bsc      closed  timestop  F     1.0x   1.0x     +0%
NINJA / ETH 0.3%       base     closed  timestop  F     1.0x   1.0x     +0%
APEONIFONE / ETH 0.3   base     closed  timestop  F     1.0x   1.0x     +0%
OPENAI / ETH 0.3%      base     closed  timestop  F     1.0x   1.0x     +0%
RXA / ETH 0.3%         base     closed  timestop  F     1.0x   1.0x     +0%
XCHAT / WETH           base     open    None      T     6.9x   6.9x   +186%
SINK / ETH 0.3%        base     closed  timestop  F     1.0x   1.0x     +0%
openhuman / WETH       base     closed  trail     F     1.0x   0.0x   -100%
狴犴 / USDT              bsc      closed  timestop  F     1.0x   1.0x     +0%
WOJAK / USDT           bsc      closed  timestop  F     1.0x   1.0x     +0%
CAT / WBNB             bsc      closed  timestop  F     1.0x   1.0x     +0%
AAPL / ETH 0.3%        base     closed  timestop  F     1.0x   1.0x     +0%
HOOD / ETH 0.3%        base     closed  timestop  F     1.0x   1.0x     +0%
GBT / ETH 0.3%         base     closed  timestop  F     1.0x   1.0x     +0%
JOHNDOG / ETH 0.3%     base     closed  timestop  F     1.0x   1.0x     +0%
GBT / ETH 0.3%         base     closed  timestop  F     1.0x   1.0x     +0%
OpenAI / USDC          base     closed  timestop  F     1.0x   1.0x     +0%
AI / ETH 0.3%          base     closed  timestop  F     1.0x   1.0x     +0%
DWM / WBNB             bsc      closed  timestop  F     1.2x   1.2x    +15%
Burn / WETH 0.01%      base     closed  trail     F     1.0x   0.2x    -82%
FMAX / ETH 0.3%        base     closed  timestop  F     1.0x   1.0x     +0%
MG / WBNB              bsc      closed  timestop  F     2.5x   2.5x   +153%
RST / SOL              solana   closed  trail     F     1.3x   0.0x   -100%
我的女友景甜 / USDT          bsc      closed  timestop  F     1.0x   1.0x     +0%
弗洛克 / WBNB             bsc      closed  trail     F     1.0x   0.0x   -100%
GBT / ETH 0.3%         base     closed  timestop  F     1.0x   0.9x     -6%
PEPE / ETH 0.3%        base     closed  timestop  F     1.0x   1.0x     +0%
30 / WETH              base     closed  trail     F     1.0x   0.0x   -100%
GRU / SOL              solana   closed  timestop  F     1.1x   1.1x     +5%
USELESS / SOL          solana   closed  timestop  F     1.0x   0.7x    -33%
我的景甜女友 / USDT          bsc      closed  timestop  F     1.0x   1.0x     +0%
JOHNDOG / ETH 0.3%     base     closed  timestop  F     1.0x   1.0x     +0%
SMAR / WBNB            bsc      closed  timestop  F     1.0x   1.0x     +0%
HOOD / ETH 0.3%        base     closed  timestop  F     1.0x   1.0x     +0%
Gemini AI / ETH 0.3%   base     closed  timestop  F     1.0x   1.0x     +0%
GBT / ETH 0.3%         base     closed  timestop  F     1.0x   1.0x     +0%
DoodleCat / ETH 0.3%   base     closed  timestop  F     1.0x   1.0x     +0%
Pumpcat / ETH 0.3%     base     closed  timestop  F     1.0x   1.0x     +0%
GBT / ETH 0.3%         base     closed  timestop  F     1.3x   1.3x    +28%
ANTHROPIC / WETH       base     closed  timestop  F   1454.3x 1454.3x     +0%
ARENA / ETH 0.3%       base     closed  timestop  F     1.0x   1.0x     +0%
狴犴 / USDT              bsc      closed  timestop  F     1.0x   1.0x     +0%
Pumpcat / ETH 0.3%     base     closed  timestop  F     1.0x   1.0x     +0%
MSFT / ETH 0.3%        base     closed  timestop  F     1.0x   1.0x     +0%
牛来 / USDT              bsc      closed  timestop  F     1.0x   1.0x     +0%
牛妈 / USDT              bsc      closed  timestop  F     1.0x   1.0x     +0%
ATL / WETH             eth      closed  trail     F     1.0x   0.0x   -100%
LEGO / ETH 0.3%        base     closed  timestop  F     1.0x   1.0x     +0%
Basepepe / ETH 0.05%   base     closed  timestop  F     1.0x   1.0x     +0%
CATE / SOL             solana   closed  trail     F     1.2x   0.0x   -100%
EVAL / REPPO 0.3%      base     closed  timestop  F     1.2x   0.7x    -29%
RA👑 / WBNB             bsc      open    None      T     2.7x   1.9x    +60%
HIERO / WETH           eth      closed  trail     F     1.3x   0.0x   -100%
STOCKER / WETH         eth      closed  trail     T     6.0x   0.8x    +70%
ROBINCAT / SOL         solana   closed  trail     T     3.7x   0.0x    +12%
BNB🐵 / WBNB            bsc      closed  timestop  F     1.0x   1.0x     +0%
BONER / SOL            solana   open    None      T    15.0x  15.0x   +388%
USWR / SOL             solana   closed  timestop  F     1.0x   1.0x     +0%
🌙CHI / WBNB            bsc      closed  timestop  F     1.0x   1.0x     +0%
牛来 / USDT              bsc      closed  timestop  F     1.0x   1.0x     +0%
IDT / WETH             eth      closed  trail     F     1.0x   0.0x   -100%
我的女友景甜 / USDC          base     closed  timestop  F     1.0x   1.0x     -1%
Canyon / SOL           solana   closed  timestop  F     1.0x   1.0x     +0%
CLANKER / NVDAon       eth      closed  trail     F     1.0x   0.4x    -54%
黄金时代 / USDC            base     closed  trail     F     1.0x   0.3x    -70%
🦊BS / WBNB             bsc      closed  timestop  F     1.3x   1.3x    +30%
Cybercab / USDC        base     closed  timestop  F     1.0x   1.0x     -1%
Magatard / WETH        eth      closed  trail     F     1.0x   0.0x   -100%
🍜VIKI / WBNB           bsc      closed  timestop  F     1.0x   1.0x     +0%
牛来 / USDT              bsc      closed  timestop  F     1.0x   1.0x     +0%
招财猫 / USDT             bsc      closed  timestop  F     1.0x   1.0x     +0%
NASA / ETH 0.3%        base     closed  timestop  F     1.0x   1.0x     +0%
USMS / ETH 0.3%        base     closed  timestop  F     1.0x   1.0x     +0%
GME / WBNB             bsc      open    None      T     3.6x   3.6x   +102%
Last / ETH 0.3%        base     closed  timestop  F     1.0x   1.0x     +0%
microduck / WBNB       bsc      closed  timestop  F     1.0x   1.0x     +0%
ATTEST / ETH 0.3%      base     closed  timestop  F     1.0x   1.0x     +0%
牛来 / SOL               solana   closed  trail     F     1.0x   0.0x   -100%
NOMEME / SOL           solana   closed  trail     F     1.0x   0.0x    -98%
SlopGPT / ETH 0.3%     base     open    None      F     1.0x   1.0x     +0%
TrustCat / ETH 0.3%    base     open    None      F     1.0x   1.0x     +0%
GPU / SOL              solana   open    None      F     1.0x   0.8x    -19%
🥳兔子 / WBNB             bsc      open    None      F     1.1x   1.1x    +12%
USWR / SOL             solana   closed  trail     T     3.9x   3.9x    +13%
Doogestar / SOL        solana   closed  trail     F     1.0x   0.0x    -97%
PIKACHU / SOL          solana   closed  trail     T     2.5x   0.0x    +13%
RAINBOW / WETH         eth      closed  trail     F     1.0x   0.0x   -100%
RPK / WETH             eth      closed  trail     F     1.0x   0.0x   -100%
PLUTO / WETH           eth      closed  trail     F     1.0x   0.0x   -100%
Google AI / SOL        solana   open    None      T     2.6x   2.6x    +78%
Gemini AI / SOL        solana   closed  timestop  F     1.0x   0.9x     -6%
BRAINDEAD / SOL        solana   closed  timestop  F     1.0x   1.0x     +0%
牛来 / USDT              bsc      closed  timestop  F     1.0x   1.0x     +0%
GKD / WETH             eth      closed  trail     F     1.2x   0.0x   -100%
MOO / WETH             base     closed  timestop  F     1.0x   1.0x     +0%
ANTHROPIC / WETH       base     closed  timestop  F     1.0x   1.0x     +0%
LIQUIDBGT / WETH       base     closed  timestop  F     1.0x   1.0x     +0%
Cybercab / USDC        base     closed  timestop  F     1.0x   1.0x     -1%
COCKWIF / ETH 0.3%     base     closed  timestop  F     1.0x   1.0x     +0%
❤️BB / WBNB            bsc      closed  timestop  F     1.0x   1.0x     +0%
fig / ETH 0.3%         base     closed  timestop  F     1.0x   1.0x     +0%
XCHAT / WETH           base     closed  timestop  F     1.0x   1.0x     +0%
LICKCOW / ETH 0.3%     base     closed  timestop  F     1.0x   1.0x     +0%
锦鲤聚宝 / WBNB            bsc      closed  timestop  F     1.0x   1.0x     +0%
HOLD / ETH 0.3%        base     closed  timestop  F     1.0x   1.0x     +0%
SPX / ETH 0.3%         base     open    None      F     1.0x   1.0x     +0%
ROBUX / ETH 0.3%       base     open    None      F     1.0x   1.0x     +0%
POPC / WBNB            bsc      open    None      F     1.1x   1.1x     +8%
INDEX9000 / ETH 0.3%   base     open    None      F     1.0x   1.0x     +0%
CAT / WBNB             bsc      open    None      F     1.1x   1.1x    +15%
PAR / ETH 0.3%         base     open    None      F     1.0x   1.0x     +0%
lot / ETH 0.3%         base     open    None      F     1.0x   1.0x     +0%
PILL / SOL             solana   open    None      F     1.0x   1.0x     +5%
PINTO / ETH 0.3%       base     open    None      F     1.0x   1.0x     +0%
fone / USDT            bsc      open    None      F     1.0x   1.0x     +0%
Q币 / USDT              bsc      open    None      F     1.0x   1.0x     +0%

closed: +68%/trade, win 72/466
