fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 3, reserves read: 3, BNB=$766.6 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.5 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.4 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.4 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.4 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.4 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.4 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.4 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.3 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.3 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.3 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.4 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.5 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.5 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.4 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.4 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.4 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.4 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.4 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.4 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.3 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.3 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.2 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.1 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.0 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.1 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.2 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.5 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.4 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.4 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.5 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.4 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.5 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.4 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.5 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.5 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.5 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.5 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.6 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.6 -> bsc_flow.jsonl (lp-gated: 1446 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 374 known)
fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 3, reserves read: 3, BNB=$766.6 -> bsc_flow.jsonl (lp-gated: 1447 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 376 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.6 -> bsc_flow.jsonl (lp-gated: 1447 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 376 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.6 -> bsc_flow.jsonl (lp-gated: 1447 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 376 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.6 -> bsc_flow.jsonl (lp-gated: 1447 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 376 known)
bsc: pools watched: 3, reserves read: 3, BNB=$766.5 -> bsc_flow.jsonl (lp-gated: 1447 known)
base: pools watched: 2, reserves read: 2, ETH=$2507.3 -> base_flow.jsonl (lp-gated: 376 known)
